Build A,Build B,A Win%,Avg Turns,Verdict
"STR Juggernaut","STR Berserker","87.9%","16.4","🔥 STR Juggernaut Dominant"
"STR Juggernaut","AGI Assassin","100.0%","16.5","🔥 STR Juggernaut Dominant"
"STR Juggernaut","AGI Bleed","97.1%","16.5","🔥 STR Juggernaut Dominant"
"STR Juggernaut","INT Mage","0.0%","42.2","❄️ INT Mage Dominant"
"STR Berserker","STR Juggernaut","13.2%","16.4","❄️ STR Juggernaut Dominant"
"STR Berserker","AGI Assassin","79.4%","11.1","🔥 STR Berserker Dominant"
"STR Berserker","AGI Bleed","46.4%","10.5","⚖️ Balanced"
"STR Berserker","INT Mage","79.0%","12.6","🔥 STR Berserker Dominant"
"AGI Assassin","STR Juggernaut","0.0%","16.6","❄️ STR Juggernaut Dominant"
"AGI Assassin","STR Berserker","22.1%","11.1","❄️ STR Berserker Dominant"
"AGI Assassin","AGI Bleed","51.7%","11.6","⚖️ Balanced"
"AGI Assassin","INT Mage","0.0%","15.7","❄️ INT Mage Dominant"
"AGI Bleed","STR Juggernaut","2.4%","16.4","❄️ STR Juggernaut Dominant"
"AGI Bleed","STR Berserker","55.3%","10.6","⚖️ Balanced"
"AGI Bleed","AGI Assassin","67.1%","11.6","🔥 AGI Bleed Dominant"
"AGI Bleed","INT Mage","3.4%","15.6","❄️ INT Mage Dominant"
"INT Mage","STR Juggernaut","100.0%","42.2","🔥 INT Mage Dominant"
"INT Mage","STR Berserker","19.5%","12.7","❄️ STR Berserker Dominant"
"INT Mage","AGI Assassin","100.0%","15.6","🔥 INT Mage Dominant"
"INT Mage","AGI Bleed","96.1%","15.5","🔥 INT Mage Dominant"
