Build A,Build B,A Win%,Avg Turns,Verdict
"STR Juggernaut","STR Berserker","0.0%","36.1","❄️ STR Berserker Dominant"
"STR Juggernaut","AGI Assassin","0.0%","39.6","❄️ AGI Assassin Dominant"
"STR Juggernaut","AGI Bleed","0.0%","35.3","❄️ AGI Bleed Dominant"
"STR Juggernaut","INT Mage","0.0%","97.9","❄️ INT Mage Dominant"
"STR Berserker","STR Juggernaut","100.0%","35.9","🔥 STR Berserker Dominant"
"STR Berserker","AGI Assassin","17.9%","23.2","❄️ AGI Assassin Dominant"
"STR Berserker","AGI Bleed","11.0%","23.3","❄️ AGI Bleed Dominant"
"STR Berserker","INT Mage","60.1%","49.5","🔥 STR Berserker Dominant"
"AGI Assassin","STR Juggernaut","100.0%","40.2","🔥 AGI Assassin Dominant"
"AGI Assassin","STR Berserker","80.0%","23.2","🔥 AGI Assassin Dominant"
"AGI Assassin","AGI Bleed","73.8%","19.3","🔥 AGI Assassin Dominant"
"AGI Assassin","INT Mage","91.6%","45.2","🔥 AGI Assassin Dominant"
"AGI Bleed","STR Juggernaut","100.0%","34.9","🔥 AGI Bleed Dominant"
"AGI Bleed","STR Berserker","90.4%","23.1","🔥 AGI Bleed Dominant"
"AGI Bleed","AGI Assassin","29.1%","19.6","❄️ AGI Assassin Dominant"
"AGI Bleed","INT Mage","87.6%","49.8","🔥 AGI Bleed Dominant"
"INT Mage","STR Juggernaut","100.0%","97.8","🔥 INT Mage Dominant"
"INT Mage","STR Berserker","43.8%","50.0","⚖️ Balanced"
"INT Mage","AGI Assassin","7.2%","45.3","❄️ AGI Assassin Dominant"
"INT Mage","AGI Bleed","13.5%","49.8","❄️ AGI Bleed Dominant"
