Build A,Build B,A Win%,Avg Turns,Verdict
"STR Juggernaut","STR Berserker","99.0%","20.2","🔥 STR Juggernaut Dominant"
"STR Juggernaut","AGI Assassin","100.0%","21.1","🔥 STR Juggernaut Dominant"
"STR Juggernaut","AGI Bleed","99.5%","21.1","🔥 STR Juggernaut Dominant"
"STR Juggernaut","INT Mage","0.0%","59.3","❄️ INT Mage Dominant"
"STR Berserker","STR Juggernaut","0.9%","20.3","❄️ STR Juggernaut Dominant"
"STR Berserker","AGI Assassin","96.9%","14.4","🔥 STR Berserker Dominant"
"STR Berserker","AGI Bleed","11.9%","12.9","❄️ AGI Bleed Dominant"
"STR Berserker","INT Mage","48.7%","17.6","⚖️ Balanced"
"AGI Assassin","STR Juggernaut","0.0%","21.0","❄️ STR Juggernaut Dominant"
"AGI Assassin","STR Berserker","4.1%","14.3","❄️ STR Berserker Dominant"
"AGI Assassin","AGI Bleed","14.0%","15.8","❄️ AGI Bleed Dominant"
"AGI Assassin","INT Mage","0.0%","19.9","❄️ INT Mage Dominant"
"AGI Bleed","STR Juggernaut","0.2%","21.1","❄️ STR Juggernaut Dominant"
"AGI Bleed","STR Berserker","86.6%","12.9","🔥 AGI Bleed Dominant"
"AGI Bleed","AGI Assassin","96.5%","15.2","🔥 AGI Bleed Dominant"
"AGI Bleed","INT Mage","0.0%","20.0","❄️ INT Mage Dominant"
"INT Mage","STR Juggernaut","100.0%","58.4","🔥 INT Mage Dominant"
"INT Mage","STR Berserker","53.5%","17.5","⚖️ Balanced"
"INT Mage","AGI Assassin","100.0%","19.8","🔥 INT Mage Dominant"
"INT Mage","AGI Bleed","100.0%","19.8","🔥 INT Mage Dominant"
